hotel,74771
room,68311
stay,40965
great,28073
would,23354
good,22902
staff,22734
get,21373
night,18560
nice,18297
one,18122
location,17970
go,17304
clean,16398
u,15772
time,15651
breakfast,14712
day,14486
service,14452
place,14130
walk,13248
bed,12957
well,12672
also,11240
make,11199
like,11075
could,10857
pool,10800
restaurant,10784
area,10257
friendly,10081
take,9591
small,9588
really,9313
even,9150
back,9110
check,9085
find,8808
bathroom,8633
look,8176
price,8159
comfortable,7925
view,7918
food,7800
say,7791
need,7787
helpful,7782
want,7542
two,7284
desk,7249
minute,7199
free,7154
little,7112
first,7076
use,7067
front,7051
floor,6997
excellent,6956
close,6896
book,6813
recommend,6714
much,6661
come,6632
bar,6588
best,6523
beach,6487
next,6390
give,6348
resort,6262
around,6133
people,6092
park,5859
work,5822
pay,5821
see,5802
large,5765
trip,5680
ask,5590
street,5553
right,5502
away,5471
lot,5461
thing,5446
new,5424
water,5330
door,5239
lobby,5212
shower,5174
beautiful,5155
way,5124
every,5097
city,5090
experience,5060
never,5050
bad,5022
leave,4995
think,4983
love,4977
old,4977
airport,4901
